id,company_name,industry,employees,headquarters
1,"Walmart","Retail",2300000,"Bentonville, AR"
2,"Amazon.com, Inc.","Retail & Cloud",1335000,"Seattle, WA"
3,"Apple Inc.","Technology",154000,"Cupertino, CA"
4,"UnitedHealth Group","Healthcare",358000,"Minnetonka, MN"
5,"Berkshire Hathaway","Conglomerate",360000,"Omaha, NE"
6,"CVS Health","Healthcare / Pharmacy",295000,"Woonsocket, RI"
7,"Exxon Mobil Corp.","Energy / Petroleum",72000,"Irving, TX"
8,"Alphabet Inc.","Technology / Internet Services",190234,"Mountain View, CA"
9,"McKesson Corporation","Healthcare Wholesale",83000,"Irving, TX"
10,"Cencora, Inc.","Health Care Wholesale",44000,"Conshohocken, PA"
11,"Costco Wholesale Corp.","Retail",316000,"Issaquah, WA"
12,"JPMorgan Chase & Co.","Financial Services",255000,"New York, NY"
13,"Microsoft Corporation","Technology",221000,"Redmond, WA"
14,"Cardinal Health, Inc.","Healthcare Services",48000,"Dublin, OH"
15,"Chevron Corporation","Energy / Petroleum",48000,"San Ramon, CA"
16,"Cigna Group","Healthcare / Insurance",74000,"Bloomfield, CT"
17,"Ford Motor Company","Automotive",183000,"Dearborn, MI"
18,"Bank of America Corp.","Financial Services",211000,"Charlotte, NC"
19,"General Motors Company","Automotive",164000,"Detroit, MI"
20,"Elevance Health, Inc.","Healthcare / Insurance",440000,"Indianapolis, IN"
21,"Wells Fargo & Company","Finance / Banking",266000,"San Francisco, CA"
22,"Citigroup Inc.","Finance / Banking",210000,"New York, NY"
23,"Goldman Sachs Group","Finance / Investment Banking",43000,"New York, NY"
24,"Morgan Stanley","Finance / Investment Banking",82000,"New York, NY"
25,"Tesla, Inc.","Automotive / EV",127855,"Palo Alto, CA"
26,"Home Depot, Inc.","Retail / Home Improvement",415000,"Atlanta, GA"
27,"Target Corporation","Retail",409000,"Minneapolis, MN"
28,"Lowe's Companies, Inc.","Retail / Home Improvement",300000,"Mooresville, NC"
29,"Boeing Company","Aerospace & Defense",141000,"Chicago, IL"
30,"Lockheed Martin Corporation","Aerospace & Defense",114000,"Bethesda, MD"
